Rude/Agressive_C,Emotive_C,Perceptive_C,Social_C,Friendly_C,Negative_C,Positive_C,Confrontational_C,Indecisive_C,Selfish_C,Rude/Agressive_I,Emotive_I,Perceptive_I,Social_I,Friendly_I,Negative_I,Positive_I,Confrontational_I,Indecisive_I,Selfish_I
2,2,7,9,0,2,2,43,15,13,1,3,4,4,0,2,2,29,8,41
3,3,5,10,1,3,2,46,9,13,1,2,5,8,0,2,1,28,8,40
2,1,6,11,0,1,1,43,10,18,1,2,6,9,0,1,1,30,10,35
4,2,6,19,2,4,3,28,12,13,2,4,6,7,0,2,3,36,12,24
2,1,7,11,0,2,3,38,20,10,1,1,2,6,1,2,1,12,6,64
2,4,4,5,0,2,3,46,14,14,1,1,3,6,0,1,0,19,8,55
0,6,4,11,0,2,6,48,10,8,1,3,2,11,1,1,2,19,6,50
2,2,10,11,0,3,2,30,19,16,0,2,5,6,0,1,1,40,8,32
0,3,11,9,0,0,3,45,14,10,1,3,5,4,0,1,2,20,8,51
1,3,6,9,0,2,2,34,16,21,2,2,4,11,1,2,1,35,10,29
2,1,3,7,0,2,0,43,13,22,1,3,4,7,0,2,1,30,11,37
1,2,5,8,0,2,2,43,14,17,1,4,5,5,0,2,1,22,5,49
3,4,7,7,0,3,4,42,14,11,0,1,4,7,0,1,1,41,10,29
3,4,9,8,0,3,2,32,15,20,1,2,4,8,0,2,0,31,6,41
2,3,8,12,0,2,3,27,13,24,0,2,3,8,0,1,2,41,10,28
1,3,7,7,0,2,2,49,13,9,1,2,2,5,0,1,0,39,7,38
2,3,4,7,0,2,2,44,14,18,1,2,3,4,0,1,1,33,8,41
2,2,6,8,0,2,2,33,12,27,2,3,3,6,0,1,1,21,7,50
1,2,7,18,1,1,3,19,16,25,1,2,4,8,0,2,2,33,8,35
0,2,8,6,0,0,4,34,12,30,1,4,5,7,0,2,3,35,11,27
2,2,6,6,0,3,1,35,7,31,0,1,4,6,0,1,1,33,8,40
2,3,5,8,0,2,2,37,14,21,1,2,4,7,0,1,1,41,10,27
1,2,5,9,0,1,1,38,15,23,0,2,3,5,0,1,1,18,5,58
0,4,0,0,0,0,4,42,19,23,0,2,4,7,1,1,1,39,10,30
4,4,3,12,2,4,2,36,16,12,2,2,3,6,1,2,1,45,9,23
0,2,7,9,1,0,3,47,13,11,0,2,2,5,0,1,1,28,7,49
0,1,6,10,0,0,1,33,13,31,0,3,5,6,0,2,2,25,12,41
1,2,5,8,0,1,2,45,15,15,0,2,5,5,0,1,1,31,10,39
4,2,8,10,0,5,1,17,13,35,1,1,5,7,0,1,1,39,16,24
0,1,11,4,0,0,2,47,16,15,1,1,4,6,0,1,1,41,8,31
2,4,7,11,0,2,3,35,11,20,1,3,5,8,2,1,2,26,4,42
2,2,8,6,0,3,3,46,7,16,1,4,5,6,0,4,1,24,8,43
1,3,6,10,0,1,3,45,16,8,0,1,4,7,0,1,1,41,5,33
5,2,8,11,1,3,2,32,14,18,4,3,7,8,0,3,2,30,9,29
2,3,7,8,0,2,2,42,11,17,0,2,5,4,0,1,1,29,6,47
1,2,6,8,0,1,3,48,14,11,0,2,2,5,0,0,2,29,9,44
0,3,8,12,0,1,4,32,20,15,0,2,6,8,0,1,2,22,9,44
3,3,7,7,0,4,2,43,14,11,2,3,3,7,0,2,1,24,5,48
0,3,7,8,0,1,4,43,19,10,0,1,4,7,0,2,1,20,11,49
3,3,8,6,0,4,3,32,20,16,2,3,2,6,1,2,2,15,7,55
2,2,4,8,0,2,2,47,16,13,2,2,2,7,0,2,1,22,7,50
1,4,6,12,0,1,4,39,10,18,1,4,4,8,0,1,3,39,10,25
0,0,2,12,0,0,0,45,25,12,1,2,5,8,1,3,2,33,15,26
0,2,5,5,0,2,0,37,7,37,1,1,3,6,0,1,1,26,10,46
1,4,8,8,1,1,2,37,6,26,2,2,5,8,1,1,1,40,9,26
2,1,9,9,0,2,1,46,14,10,1,1,4,7,0,1,1,33,10,37
4,1,3,4,0,1,0,33,15,34,2,3,4,10,1,2,2,33,10,29
2,2,7,10,1,1,2,39,14,18,2,3,5,7,0,1,2,23,9,43
2,3,6,10,1,2,2,36,14,20,2,3,1,5,1,2,2,27,11,41
